"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1058334-20","","江頭西(2)","","33.26419","130.26262","1058334-20","","0","1058334","",""
"1058335-00","","市営江頭団地前","","33.2650488","130.2615934","1058335-00","","0","1058335","",""
"1058336-10","","クレオパーク鍋島北(1)","","33.26663","130.25948","1058336-10","","0","1058336","",""
"1058337-10","","クレオパーク鍋島(1)","","33.26495","130.25958","1058337-10","","0","1058337","",""
"1058334-10","","江頭西(1)","","33.26382","130.26279","1058334-10","","0","1058334","",""
"1058333-10","","鍋島駅西(1)","","33.26146","130.26323","1058333-10","","0","1058333","",""
"1058332-10","","鍋島駅南(1)","","33.25586","130.26553","1058332-10","","0","1058332","",""
"1058331-10","","新栄小西(1)","","33.25609","130.26994","1058331-10","","0","1058331","",""
"1058330-10","","新栄小前(1)","","33.2563","130.27626","1058330-10","","0","1058330","",""
"1058329-10","","北高前(1)","","33.25665","130.27917","1058329-10","","0","1058329","",""
"1058328-10","","中折(1)","","33.25737","130.28227","1058328-10","","0","1058328","",""
"1058327-10","","佐賀工業高校前(1)","","33.25796","130.28415","1058327-10","","0","1058327","",""
"1058326-10","","多布施橋(1)","","33.25856","130.28625","1058326-10","","0","1058326","",""
"1058325-10","","多布施(1)","","33.25889","130.28908","1058325-10","","0","1058325","",""
"1058324-10","","どんどんどんの森前(1)","","33.25909","130.29076","1058324-10","","0","1058324","",""
"1024168-01","","どんどんどんの森東(1)","","33.26216","130.29324","1024168-01","","0","1024168","",""
"1030219-04","","堀江通(4)","","33.26297","130.29329","1030219-04","","0","1030219","",""
"1024169-20","","駅南本町西(2)","","33.26157","130.29732","1024169-20","","0","1024169","",""
"1024168-04","","どんどんどんの森東(4)","","33.26138","130.29376","1024168-04","","0","1024168","",""
"1059338-20","","新栄団地(2)","","33.2596","130.27713","1059338-20","","0","1059338","",""
"1059339-20","","八戸溝一丁目(2)","","33.2612","130.27522","1059339-20","","0","1059339","",""
"1059340-20","","八戸溝二丁目(2)","","33.26172","130.27408","1059340-20","","0","1059340","",""
